epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1156,0.94312,0.64031,0.80994,0.05638,0.51095,0.10483,0.06362,1.41973,3.94623,0.8348,0.000238261,0.000238261,0.000238261
55,1177.92,0.95437,0.62381,0.8148,0.0629,0.46372,0.10914,0.06,1.55263,4.07176,0.84537,0.000236662,0.000236662,0.000236662
56,1198.24,0.9308,0.62364,0.80719,0.05134,0.52027,0.10426,0.06113,1.45892,4.00764,0.84175,0.000235063,0.000235063,0.000235063
57,1218.55,0.94613,0.63501,0.80346,0.05743,0.45136,0.10881,0.06375,1.44279,3.95251,0.83948,0.000233464,0.000233464,0.000233464
58,1239.02,0.91429,0.60751,0.80589,0.05431,0.46991,0.10342,0.06181,1.39905,3.92967,0.83297,0.000231866,0.000231866,0.000231866
59,1259.65,0.92426,0.60476,0.8091,0.05522,0.50068,0.11569,0.06588,1.41002,3.89969,0.82985,0.000230267,0.000230267,0.000230267
60,1279.85,0.9334,0.61656,0.80562,0.08913,0.26246,0.1306,0.07396,1.44555,3.93806,0.84196,0.000228668,0.000228668,0.000228668
61,1306.4,0.89406,0.596,0.80476,0.05519,0.52158,0.10963,0.06644,1.44137,3.85726,0.83774,0.000227069,0.000227069,0.000227069
62,1330.09,0.9035,0.58137,0.80029,0.16286,0.17405,0.11012,0.06377,1.44357,4.08666,0.83892,0.00022547,0.00022547,0.00022547
63,1350.63,0.87449,0.58026,0.8035,0.06065,0.46932,0.09971,0.05992,1.44738,4.16958,0.83936,0.000223871,0.000223871,0.000223871
64,1370.58,0.88007,0.58021,0.80306,0.15096,0.21546,0.11565,0.0639,1.4768,3.88966,0.8425,0.000222272,0.000222272,0.000222272
65,1390.75,0.87697,0.56361,0.80061,0.06498,0.56626,0.11296,0.0659,1.41368,3.62543,0.8365,0.000220674,0.000220674,0.000220674
66,1412.03,0.86561,0.56199,0.79793,0.06627,0.52867,0.11439,0.06574,1.43176,4.0736,0.83529,0.000219075,0.000219075,0.000219075
67,1431.89,0.86554,0.55636,0.80583,0.07764,0.36634,0.10583,0.05811,1.52465,4.25983,0.84443,0.000217476,0.000217476,0.000217476
68,1453.42,0.88471,0.55215,0.80286,0.25509,0.17986,0.10828,0.06219,1.45915,4.17868,0.83999,0.000215877,0.000215877,0.000215877
69,1472.75,0.87332,0.55549,0.80287,0.06779,0.47814,0.10728,0.06218,1.42902,4.16659,0.83885,0.000214278,0.000214278,0.000214278
70,1492.16,0.85512,0.53801,0.80467,0.06344,0.49622,0.09804,0.05829,1.44407,4.11352,0.84141,0.000212679,0.000212679,0.000212679
71,1511.72,0.84108,0.52338,0.80195,0.05824,0.46423,0.10172,0.05768,1.4473,4.25071,0.84098,0.00021108,0.00021108,0.00021108
72,1530.91,0.84909,0.55128,0.80043,0.20181,0.28247,0.11965,0.06854,1.44868,4.19322,0.83894,0.000209482,0.000209482,0.000209482
