epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1360.43,0.87825,0.45919,0.81827,0.90047,0.86833,0.89437,0.65,1.09926,0.46763,0.83941,0.000577782,0.000577782,0.000577782
68,1380.02,0.8797,0.45575,0.81687,0.8904,0.81107,0.89115,0.63055,1.14182,0.48156,0.84452,0.000561279,0.000561279,0.000561279
69,1399.55,0.87597,0.44349,0.81884,0.90192,0.86787,0.90388,0.64974,1.13894,0.47036,0.84178,0.000544776,0.000544776,0.000544776
70,1419.21,0.85429,0.44189,0.82106,0.8623,0.9147,0.92761,0.64169,1.13065,0.46875,0.84397,0.000528272,0.000528272,0.000528272
71,1439.92,0.87044,0.45626,0.82156,0.89057,0.88085,0.91632,0.6609,1.09224,0.47813,0.83974,0.000511769,0.000511769,0.000511769
72,1460.89,0.86102,0.44303,0.82214,0.93936,0.82866,0.9286,0.66323,1.12276,0.47518,0.84141,0.000495266,0.000495266,0.000495266
73,1481.24,0.87463,0.45006,0.82073,0.94156,0.86308,0.92511,0.65265,1.13003,0.46602,0.84289,0.000478762,0.000478762,0.000478762
74,1501.1,0.85735,0.44018,0.81361,0.84909,0.90322,0.92226,0.65172,1.10993,0.45664,0.83973,0.000462259,0.000462259,0.000462259
75,1520.58,0.84074,0.43303,0.81944,0.87752,0.86712,0.91388,0.6672,1.10072,0.4698,0.84038,0.000445756,0.000445756,0.000445756
76,1540.39,0.81564,0.42107,0.81416,0.83961,0.91295,0.90586,0.64492,1.13312,0.48102,0.84193,0.000429253,0.000429253,0.000429253
77,1559.8,0.87221,0.44469,0.81688,0.89128,0.84514,0.90742,0.64041,1.11866,0.46553,0.84161,0.000412749,0.000412749,0.000412749
